RequirementText,Class
only authorized users can access product,SE
only registered realtors have access to system,SE
every user of system must authenticate,SE
product prevents incorrect data,SE
only authorized users have access to confidential site information,SE
administrators have access to confidential site information,SE
only authorized users have access to users personal information,SE
susan have access to users personal information,SE
only authorized users have access to database,SE
susan have access to class scheduling,SE
system has data integrity checking,SE
system protects private information per policy,SE
system is protected against malicious interference,SE
system is protected against viruses,SE
only users with rights access can initiate disputes,SE
only users with update access can update disputes,SE
only authorized users can login,SE
all authorized users are able to enter system,SE
system generates user report,SE
user actions are recorded on user report,SE
revoked user accounts only can be reset by administrator,SE
only administrator can reset revoked user accounts,SE
users havent permission to access files and databases,SE
all updates to databases must initiate from disputes system,SE
only adjusters can request recycled parts audit reports,SE
supervisors have access to repairs,SE
only adjusters can search for recycled parts,SE
only valid data must be entered in system,SE
company havent permission to view another data,SE
product mustnt have viruses,SE
system must prevent malicious attacks,SE
only approved users have access,SE
only managers are able to search for reserve,SE
data entered by user must correspond to database data,SE
product prevents input of malicious data,SE
product receives automatic software updates for new viruses,SE
changes in passwords and permissions consistently take effect,SE
access rights can be assigned to users,SE
all credit card information are encrypted in database,SE
only registered customers can purchase streaming movies,SE
customer can stream only purchased movies,SE
only authorized users can access customer recorded data in database,SE
only administrators can activate prepaid card,SE
only authorized users can access confidential information,SE
website prevents data corruption when incorrect data is entered,SE
website is protected against security abuse,SE
data integrity scripts check integrity of database,SE
website notifies users about privacy policy,SE
system notifies customers of changes to information policy,SE
system shows private information according policy,SE
customer information are accessible only to authorized users ,SE
all credit card information are encrypted in database,SE
streaming server have security software to prevent viruses,SE
product mustnt provide players information about another player,SE
players havent permission to access other players data,SE
only supervisors can advertise empty time slots,SE
supervisors can access and advertise empty time slots,SE
only administrators can view schedule,SE
product provides authentication and authorization,SE
product enables privacy using encryption and integrity checking,SE
product stores messages for security audit purposes,SE
users must be authenticated with username and password,SE
cookies containing confidential information about user arent stored,SE
username and password are used for authentication,SE
administrators is only authorized user to edit settings,SE
only authorized users can access system,SE
user access are limited to rights permissions,SE
network transactions with confidential information must be encrypted,SE
users must login according to restricted access policy,SE
only authorized users can use system from other locations,SE
there are different rights access and authorization,SE
password used for tablet login must have 64 bit strength,SE
password used for tablet login must be changed every 3 months,SE
users can login only 1 tablet for security reasons,SE
users cant login 2 tablet simultaneously,SE
display requires no user login,SE
surface computer requires no user login,SE
tablet requires user to login using username and password,SE
system must use secured database,SE
unauthorized users can read data without edit anything,SE
information transmission is securely transmitted to server,SE
valid user id and password are required for transactions,SE
