RequirementText,Class
system interacts with databases,O
product integrate with various technology,O
merchant database provides merchant information,O
system operates in office environment,O
website supports java,O
movies are encoded for connections 256,O
system uses periodic messages,O
product uses protocols to process messages in real time,O
lead process operates within established architecture,O
product is used in office environment,O
application only updates parts that have changed,O
network connectivity should be fast for operations and data load,O
product operates in noisy environment,O
application interacts with billing system,O
secondary database is used to store statistics and data,O
product is distributed as cd,O
users information are recorded in users database,O
system interacts with master server,O
product is available for license,O
hardware are handled by technology team,O
product successfully interacts with database management system,O
system doesnt require third party license,O
system automatically backups data,O
product runs on existing hardware,O
data entry forms for application match their microsoft excel copy,O
system is installed on windows,O
product interacts with various servers,O
application isnt available during scheduled maintenance windows,O
system can be invoked by typing start,O
website interacts with server to process credit card transactions,O
system integrates with other services,O
website uses flash libraries for animation on home page,O
product runs from web server,O
product interacts with other systems daily,O
meeting scheduler is accessed from web,O
database management system is on separate machine,O
same hardware will be used when install new system,O
product supports internet explorer browser,O
system is able to update files,O
system interacts with primary server,O
product adheres to company architecture guidelines,O
system is installed on currently hardware computer,O
application interacts with master database,O
system interacts with environment,O
application interacts with browser,O
product can be installed in any operating environment,O
system stores location where product will be sent,O
application runs on web application server,O
movies are available from browser,O
system is compatible with microsoft windows,O
product interacts with parts system,O
product integrates with database management system,O
all parts of website are accessed via web browser,O
product uses web application server technology,O
product is installed in specified environment in 1 day,O
product works on systems with database installed,O
system interacts with firefox browser,O
application can change and update information on server,O
primary database is used to store cached data,O
application interacts with other application,O
product is distributed via internet,O
system is able to provide information from database to catalog,O
user computers have minimum hardware requirements,O
system uses mail protocols,O
market system interacts with web server using api,O
product is developed with java libraries,O
system updates display every 60 seconds,PE
product responds quickly,PE
product returns search results in acceptable time,PE
search results are returned in 30 seconds,PE
product generates reports in acceptable time,PE
reports are returned in 60 seconds,PE
product synchronizes contacts in acceptable time,PE
product synchronizes with system every hour,PE
system must allow users to complete tasks in acceptable time,PE
response time for tasks is 5 seconds,PE
navigation between screens takes 5 seconds,PE
application support 350 concurrent users without performance degradation,PE
search results are returned in 15 seconds,PE
search for repairs takes 8 seconds,PE
audit reports are returned in 10 seconds,PE
repairs are done in 5 seconds,PE
system responses must be fast,PE
create inventory takes 30 minutes,PE
system allows 6 users to work simultaneously,PE
in 5 seconds administrators can activate prepaid card,PE
in 5 seconds customers can check status of prepaid card,PE
system allows customers registration in 5 minutes,PE
system allows user enter website in 1 minute,PE
in 5 seconds customers can login website,PE
system allows customers to cancel their accounts in 2 minutes,PE
in 1 minute administrators are able to revoke account,PE
administrators are able to add movies in 5 minutes,PE
system allows administrator to cancel movies in 5 minutes,PE
system allows manager to access statistics in 2 minutes,PE
administrators generates unique pin in 2 minutes,PE
interface between user and system has 5 seconds of response time,PE
purchasing streaming movies have response time of 15 seconds,PE
stream buffering time take 10 seconds,PE
stream buffering occur when there is latency in user connection,PE
update rights takes 2 minutes,PE
add new products to website takes 2 minutes,PE
lead time is completed in 5 minutes,PE
lead reports take 25 seconds for all leads,PE
data are recorded when leads take 25 seconds,PE
process fit within processing time constraints,PE
product supports 1000 games simultaneously,PE
response time is fast to ensure flow of game,PE
response time is 2 seconds,PE
system is fast and responsive,PE
on 256 connection system response time is 3 seconds,PE
on 112 connection system response time is 6 seconds,PE
product provides asynchronous messaging to avoid communications overhead,PE
product provides load balancing to avoid traffic,PE
product processes messages in 2 seconds,PE
product asks system for new messages every second,PE
product provides scalability to ensure services availability,PE
application is able to complete user transactions in 1 second,PE
response time is 10 seconds,PE
in 10 seconds all web pages must be downloadable with 256 connection,PE
responses to search take 7 seconds to load,PE
system displays messages to users in 4 seconds,PE
responses to view information appear on screen in 5 seconds,PE
high speed network and connectivity is required,PE
system must have short response time,PE
there are 5 seconds overhead time to database transactions time,PE
products initial load time depends on internet connection speed,PE
