RequirementText,Class
system updates display every 60 seconds,PE
projected data is readable,US
text projected on screens is readable,US
only authorized users can access product,SE
product is intuitive and easy,US
product responds quickly,PE
realtors can use system without training,US
system is easy to use,US
product is easy for realtors to learn,US
symbols and words are easy to understand,US
product returns search results in acceptable time,PE
search results are returned in 30 seconds,PE
product generates reports in acceptable time,PE
reports are returned in 60 seconds,PE
product synchronizes contacts in acceptable time,PE
product synchronizes with system every hour,PE
untrained realtors can install product without separate instructions,US
untrained users can use product without instructions,US
only registered realtors have access to system,SE
every user of system must authenticate,SE
product prevents incorrect data,SE
system is easy for administrators to use,US
all users can use system after 1 day of training,US
system helps users avoid making mistakes,US
number of users mistakes should decrease in first 2 months,US
system is intuitive for administrators,US
administrator successfully uses system,US
system uses symbols and words easy to understand,US
system text is consistent with standard english,US
system must allow users to complete tasks in acceptable time,PE
response time for tasks is 5 seconds,PE
system operates in office environment,O
system is used within specifications defined by computers administrators,O
system operates within windows xp operating system,O
system interacts with primary server,O
system interacts with databases,O
system interacts with master server,O
application interacts with browser,O
only authorized users have access to confidential site information,SE
administrators have access to confidential site information,SE
only authorized users have access to users personal information,SE
susan have access to users personal information,SE
only authorized users have access to database,SE
susan have access to class scheduling,SE
system has data integrity checking,SE
system protects private information per policy,SE
system is protected against malicious interference,SE
system is protected against viruses,SE
disputes are colored for easy status identification,US
users have regular application usage after training,US
users successfully create disputes after first training,US
users are able to successfully complete tasks,US
navigation between screens takes 5 seconds,PE
application support 350 concurrent users without performance degradation,PE
application isnt available during scheduled maintenance windows,O
application interacts with master database,O
users information are recorded in users database,O
merchant database provides merchant information,O
application interacts with other application,O
application interacts with billing system,O
only users with rights access can initiate disputes,SE
only users with update access can update disputes,SE
only authorized users can login,SE
all authorized users are able to enter system,SE
system generates user report,SE
user actions are recorded on user report,SE
revoked user accounts only can be reset by administrator,SE
only administrator can reset revoked user accounts,SE
users havent permission to access files and databases,SE
all updates to databases must initiate from disputes system,SE
product supports internet explorer browser,O
product must support mozilla firefox browser,O
product interacts with parts system,O
product runs on existing hardware,O
product adheres to company architecture guidelines,O
adjusters find product easy to use,US
product increases productivity of adjusters,US
user increases their productivity with product,US
users can learn product in 2 days,US
users easily find instructions during product usage,US
search results are returned in 15 seconds,PE
search for repairs takes 8 seconds,PE
audit reports are returned in 10 seconds,PE
repairs are done in 5 seconds,PE
product operates in noisy environment,O
product interacts with other systems daily,O
maintenance occur in established maintenance windows,O
product is supported using company server center,O
hardware are handled by technology team,O
only adjusters can request recycled parts audit reports,SE
supervisors have access to repairs,SE
only adjusters can search for recycled parts,SE
only valid data must be entered in system,SE
company havent permission to view another data,SE
product mustnt have viruses,SE
system must prevent malicious attacks,SE
product works with database management systems,O
product works on systems with database installed,O
database management system is on separate machine,O
product uses web application server technology,O
product integrates with database management system,O
user survey reports regular product usage,US
users are able to successfully reserve rooms in 5 minutes,US
product provides users with colored feedback,US
users are able to select languages,US
product has customization of home page,US
users are able to successfully use product,US
product uses standard navigation menus,US
search for available rooms is intuitive,US
product must conform with disabilities act,US
system responses must be fast,PE
product is used in office environment,O
product interacts with browser,O
product successfully interacts with database management system,O
product interacts with various servers,O
product is distributed via internet,O
product is distributed as cd,O
product is available for license,O
add new user to system takes 10 minutes,US
user have access to support page,US
product is translated in other languages,US
product integrate with various technology,O
product can be installed in any operating environment,O
only approved users have access,SE
only managers are able to search for reserve,SE
data entered by user must correspond to database data,SE
product prevents input of malicious data,SE
product receives automatic software updates for new viruses,SE
product displays time according to user local time,US
product is developed with java libraries,O
create inventory takes 30 minutes,PE
system allows 6 users to work simultaneously,PE
system is installed on currently hardware computer,O
system automatically backups data,O
changes in passwords and permissions consistently take effect,SE
access rights can be assigned to users,SE
system doesnt require third party license,O
in 5 seconds administrators can activate prepaid card,PE
in 5 seconds customers can check status of prepaid card,PE
system allows customers registration in 5 minutes,PE
system allows user enter website in 1 minute,PE
in 5 seconds customers can login website,PE
system allows customers to cancel their accounts in 2 minutes,PE
in 1 minute administrators are able to revoke account,PE
administrators are able to add movies in 5 minutes,PE
system allows administrator to cancel movies in 5 minutes,PE
system allows manager to access statistics in 2 minutes,PE
administrators generates unique pin in 2 minutes,PE
product is usable by novice users,US
users navigate through 2 pages to create an account,US
users access their streaming movies in 2 click after login,US
survey shows that customers are comfortable purchasing streaming,US
survey shows that customers are comfortable using system,US
product helps customer with buying preferences,US
novice customers easily purchase streaming movies,US
product use words easy to understand,US
website interacts with user using standard conventions,US
interface between user and system has 5 seconds of response time,PE
purchasing streaming movies have response time of 15 seconds,PE
stream buffering time take 10 seconds,PE
stream buffering occur when there is latency in user connection,PE
all credit card information are encrypted in database,SE
all parts of website are accessed via web browser,O
same hardware will be used when install new system,O
system interacts with firefox browser,O
website interacts with server to process credit card transactions,O
website supports java,O
movies are available from browser,O
movies are encoded for connections 256,O
update rights takes 2 minutes,PE
add new products to website takes 2 minutes,PE
help page contain support answers to issues,US
product is installed in specified environment in 1 day,O
only registered customers can purchase streaming movies,SE
customer can stream only purchased movies,SE
only authorized users can access customer recorded data in database,SE
only administrators can activate prepaid card,SE
only authorized users can access confidential information,SE
website prevents data corruption when incorrect data is entered,SE
website is protected against security abuse,SE
data integrity scripts check integrity of database,SE
website notifies users about privacy policy,SE
system notifies customers of changes to information policy,SE
system shows private information according policy,SE
customer information are accessible only to authorized users ,SE
all credit card information are encrypted in database,SE
streaming server have security software to prevent viruses,SE
website uses flash libraries for animation on home page,O
lead time is completed in 5 minutes,PE
lead reports take 25 seconds for all leads,PE
data are recorded when leads take 25 seconds,PE
process fit within processing time constraints,PE
lead process operates within established architecture,O
process use neutral data format when processing lead data,O
product supports 1000 games simultaneously,PE
response time is fast to ensure flow of game,PE
product mustnt provide players information about another player,SE
users are able to complete game without training,US
product is available to players who understand english,US
players havent permission to access other players data,SE
response time is 2 seconds,PE
callers and supervisors are able to complete tasks in 2 minutes,US
system is easy to learn for callers and supervisors,US
system is fast and responsive,PE
on 256 connection system response time is 3 seconds,PE
on 112 connection system response time is 6 seconds,PE
only supervisors can advertise empty time slots,SE
supervisors can access and advertise empty time slots,SE
only administrators can view schedule,SE
product is easy for administrators to use after 2 days of usage,US
product helps administrators resolve issues in transactions,US
product helps administrators analyze transactions with reports,US
product provides asynchronous messaging to avoid communications overhead,PE
product provides load balancing to avoid traffic,PE
product processes messages in 2 seconds,PE
product asks system for new messages every second,PE
product provides scalability to ensure services availability,PE
product enables access to any development environment,O
product uses protocols to process messages in real time,O
product provides authentication and authorization,SE
product enables privacy using encryption and integrity checking,SE
product stores messages for security audit purposes,SE
all functionality navigation can be done with mouse,US
interface adheres to usability standard,US
reports are generated in 2 buttons click,US
user is able to use system without instructions,US
training session is scheduled for users,US
system uses symbols as defined by company,US
system is installed on windows,O
system is able to update files,O
users must be authenticated with username and password,SE
cookies containing confidential information about user arent stored,SE
username and password are used for authentication,SE
administrators is only authorized user to edit settings,SE
in 30 seconds user is able to navigate through home page,US
users are able to reach player management page with 1 click from home page,US
users are able to view 10 player information at home page,US
application asks user confirmation before actions are done,US
application is able to complete user transactions in 1 second,PE
application runs on web application server,O
primary database is used to store cached data,O
secondary database is used to store statistics and data,O
user computers have minimum hardware requirements,O
minimum software requirements are 1000 gb hard disk,O
system interacts with environment,O
only authorized users can access system,SE
user access are limited to rights permissions,SE
users are able to complete tasks in defined time,US
response time is 10 seconds,PE
system can be invoked by typing start,O
system uses mail protocols,O
system has help system for data on screen,US
meeting scheduler is accessed from web,O
system is user friendly for managers and chefs,US
system is quickly accessible by managers and chefs,US
system is intuitive when displays data,US
menus of system are easy to navigate using buttons,US
in 10 seconds all web pages must be downloadable with 256 connection,PE
responses to search take 7 seconds to load,PE
system displays messages to users in 4 seconds,PE
network transactions with confidential information must be encrypted,SE
users must login according to restricted access policy,SE
only authorized users can use system from other locations,SE
there are different rights access and authorization,SE
data entry forms for application match their microsoft excel copy,O
users are able to use application without instructions,US
system allows user to view campus map from map page,US
system provides return buttons to home page,US
system uses periodic messages,O
password used for tablet login must have 64 bit strength,SE
password used for tablet login must be changed every 3 months,SE
users can login only 1 tablet for security reasons,SE
users cant login 2 tablet simultaneously,SE
display requires no user login,SE
surface computer requires no user login,SE
tablet requires user to login using username and password,SE
responses to view information appear on screen in 5 seconds,PE
system must use secured database,SE
unauthorized users can read data without edit anything,SE
information transmission is securely transmitted to server,SE
market system interacts with web server using api,O
valid user id and password are required for transactions,SE
secure data transfer over internet is provided using ssl encryption,SE
addresses from where transactions are done will be recorded,SE
user passwords are stored in database in encrypted format,SE
application only updates parts that have changed,O
application can change and update information on server,O
application must log user out when it is exited,SE
correct combination of username and password is required,SE
log out is automatic after 1 hour of inactivity,SE
full data backups are created daily,SE
each account securely stores all of its data,SE
system stores location where product will be sent,O
system uses ssl in all transactions with confidential information,SE
system automatically log all customers out after period of inactivity,SE
system mustnt leave cookies on customers computer containing passwords,SE
server is only accessible to authenticated administrators,SE
confidential data is encrypted before being sent over insecure connections,SE
system provides data of all databases on redundant computers,O
system is able to provide information from database to catalog,O
system integrates with other services,O
system supports user in their tasks,US
every client has secure and private access to their data,SE
system have security mechanisms to prevent possibility of data corruption,SE
system uses security mechanisms to prevent unauthorized access,SE
each user is trusted or not trusted,SE
high speed network and connectivity is required,PE
network connectivity should be fast for operations and data load,O
each unique login id and password is encoded in database using sha2 algorithm,SE
system usage mustnt harm human users,SE
system uses protected database,SE
normal users can read information without edit anything,SE
system has different access constraints for users,SE
customers must have valid login id to enter site,SE
system must have short response time,PE
data transactions between client and server must be encrypted using ssl technology,SE
all generated passwords are stored encrypted in database,SE
system generates pin for users to prevent attacks,SE
all users of system must login using unique identification,SE
all login are done securely,SE
system is compatible with microsoft windows,O
there are 5 seconds overhead time to database transactions time,PE
system uses secure communications to ensure data confidentiality,SE
user permissions are defined outside scope of system,SE
personal information security is defined by database server,SE
users are required to login for all operations,SE
system provides digital image for products in catalog,US
system provides use of symbols and buttons,US
system provides accessiibility according to disabilities act,US
system provides multi languages support,US
product runs from web server,O
products initial load time depends on internet connection speed,PE
performance depends on client hardware components,PE
system uses secured communications in all transactions,SE
system automatically log customers out after period of inactivity,SE
system asks for confirmation for all transactions,US
system mustnt leave cookies with confidential data,SE
system mustnt leave cookies on customers computer containing passwords,SE
web browser mustnt display customer password,SE
web browser mustnt display customers credit card number from database,SE
system server mustnt display customer password,SE
system databases are encrypted,SE
system uses 1 password per user to login,SE
system uses ssl technology to ensure all transactions are secure,SE
any page of application take 6 seconds to load,PE
system slow down on heavy loads to ensure services availability,PE
100 concurrent users are supported without performance degradation,PE
secure server is required to ensure confidentiality of customer credit card data,SE
interface of system is user friendly and intuitive,US
it takes 120 seconds for account registration,US
it takes 90 seconds to users to buy movies,US
website have site map to quickly access system,US
secondary servers must be available in case of heavy loads,PE
identity theft and other security issues must be solved,SE
