RequirementText,Class
system operates office environment,O
system used within specification defined computer administrator,O
system operates within window operating system,O
system interacts primary server,O
system interacts database,O
system interacts master server,O
application interacts browser,O
application isnt available scheduled maintenance window,O
application interacts master database,O
user information recorded user database,O
merchant database provides merchant information,O
application interacts application,O
application interacts billing system,O
product support internet explorer browser,O
product must support mozilla firefox browser,O
product interacts part system,O
product run existing hardware,O
product adheres company architecture guideline,O
product operates noisy environment,O
product interacts system daily,O
maintenance occur established maintenance window,O
product supported using company server center,O
hardware handled technology team,O
product work database management system,O
product work system database installed,O
database management system separate machine,O
product web application server technology,O
product integrates database management system,O
product used office environment,O
product interacts browser,O
product successfully interacts database management system,O
product interacts various server,O
product distributed via internet,O
product distributed,O
product available license,O
product integrate various technology,O
product installed operating environment,O
product developed java library,O
system installed currently hardware computer,O
system automatically backup data,O
system doesnt require third party license,O
part website accessed via web browser,O
hardware used install new system,O
system interacts firefox browser,O
website interacts server process credit card transaction,O
website support java,O
movie available browser,O
movie encoded connection,O
product installed specified environment day,O
website flash library animation home page,O
lead process operates within established architecture,O
process use neutral data format processing lead data,O
product enables access development environment,O
product protocol process message real time,O
system installed window,O
system able update file,O
application run web application server,O
primary database used store cached data,O
secondary database used store statistic data,O
user computer minimum hardware requirement,O
minimum software requirement hard disk,O
system interacts environment,O
system invoked typing start,O
system mail protocol,O
meeting scheduler accessed web,O
data entry form application match microsoft excel copy,O
system periodic message,O
market system interacts web server using api,O
application update part changed,O
application change update information server,O
system store location product sent,O
system provides data database redundant computer,O
system able provide information database catalog,O
system integrates service,O
network connectivity fast operation data load,O
system compatible microsoft window,O
product run web server,O
response time task second,PE
authorized user access customer recorded data database,SE
full data backup created daily,SE
product support game simultaneously,PE
performance depends client hardware component,PE
normal user read information without edit anything,SE
second customer check status prepaid card,PE
address transaction done recorded,SE
system secured communication transaction,SE
product mustnt provide player information another player,SE
product standard navigation menu,US
tablet requires user login using username password,SE
system security mechanism prevent unauthorized access,SE
system allows customer cancel account minute,PE
take second account registration,US
product use word easy understand,US
response search take second load,PE
user learn product day,US
password used tablet login must bit strength,SE
generated password stored encrypted database,SE
navigation screen take second,PE
user survey report regular product usage,US
application asks user confirmation action done,US
product provides authentication authorization,SE
website site map quickly access system,US
information transmission securely transmitted server,SE
user access support page,US
user regular application usage training,US
symbol word easy understand,US
stream buffering time take second,PE
user use system day training,US
supervisor access advertise empty time slot,SE
number user mistake decrease first month,US
product store message security audit purpose,SE
server accessible authenticated administrator,SE
product provides user colored feedback,US
unique login password encoded database using sha2 algorithm,SE
web browser mustnt display customer credit card number database,SE
realtor use system without training,US
adjuster search recycled part,SE
application support concurrent user without performance degradation,PE
username password used authentication,SE
adjuster request recycled part audit report,SE
system intuitive administrator,US
customer stream purchased movie,SE
valid user password required transaction,SE
every user system must authenticate,SE
system response must fast,PE
system asks confirmation transaction,US
concurrent user supported without performance degradation,PE
product receives automatic software update new virus,SE
connection system response time second,PE
system mustnt leave cooky customer computer containing password,SE
product synchronizes system every hour,PE
product help administrator analyze transaction report,US
product return search result acceptable time,PE
system mustnt leave cooky confidential data,SE
registered customer purchase streaming movie,SE
authorized user access user personal information,SE
approved user access,SE
system server mustnt display customer password,SE
authorized user use system location,SE
system data integrity checking,SE
data recorded lead take second,PE
untrained realtor install product without separate instruction,US
second web page must downloadable connection,PE
system generates pin user prevent attack,SE
supervisor access repair,SE
website notifies user privacy policy,SE
supervisor advertise empty time slot,SE
website interacts user using standard convention,US
streaming server security software prevent virus,SE
password used tablet login must changed every month,SE
product customization home page,US
registered realtor access system,SE
web browser mustnt display customer password,SE
user login tablet security reason,SE
